checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label
0 <= <200 DM,12,existing credits paid back duly till now,car (new),1295,<100 DM,<1 years,3,none,1,car or other,25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0
<0 DM,48,existing credits paid back duly till now,business,4308,<100 DM,<1 years,3,none,4,savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0
0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1567,<100 DM,1<= < 4 years,1,none,1,car or other,22,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
<0 DM,24,critical account,car (new),1199,<100 DM,>=7 years,4,none,4,car or other,60,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0
<0 DM,15,existing credits paid back duly till now,car (new),1403,<100 DM,1<= < 4 years,2,none,4,car or other,28,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,24,existing credits paid back duly till now,radio/television,1282,100 <= <500 DM,1<= < 4 years,4,none,2,car or other,32,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0
no account,24,critical account,radio/television,2424,no savings account,>=7 years,4,none,4,savings agreement/life insurance,53,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,30,no credits taken,business,8072,no savings account,<1 years,2,none,3,car or other,25,bank,own,3,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,24,existing credits paid back duly till now,car (used),12579,<100 DM,>=7 years,4,none,2,unknown / no property,44,none,for free,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,0
no account,24,existing credits paid back duly till now,radio/television,3430,500 <= < 1000 DM,>=7 years,3,none,2,car or other,31,none,own,1,skilled employee / official,2,yes,yes,male,divorced/separated,1
no account,9,critical account,car (new),2134,<100 DM,1<= < 4 years,4,none,4,car or other,48,none,own,3,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,6,existing credits paid back duly till now,radio/television,2647,500 <= < 1000 DM,1<= < 4 years,2,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,male,divorced/separated,1
<0 DM,10,critical account,car (new),2241,<100 DM,<1 years,1,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,male,divorced/separated,1
0 <= <200 DM,12,critical account,car (used),1804,100 <= <500 DM,<1 years,3,none,4,savings agreement/life insurance,44,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,10,critical account,furniture/equipment,2069,no savings account,1<= < 4 years,2,none,1,car or other,26,none,own,2,skilled employee / official,1,none,no,male,married/widowed,1
<0 DM,6,existing credits paid back duly till now,furniture/equipment,1374,<100 DM,1<= < 4 years,1,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,male,divorced/separated,1
no account,6,no credits taken,radio/television,426,<100 DM,>=7 years,4,none,4,car or other,39,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
>= 200 DM ,12,all credits at this bank paid back duly,radio/television,409,>= 1000 DM,1<= < 4 years,3,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,7,existing credits paid back duly till now,radio/television,2415,<100 DM,1<= < 4 years,3,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,60,delay in paying off,business,6836,<100 DM,>=7 years,3,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0
0 <= <200 DM,18,existing credits paid back duly till now,business,1913,>= 1000 DM,<1 years,3,none,3,real estate,36,bank,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1
<0 DM,24,existing credits paid back duly till now,furniture/equipment,4020,<100 DM,1<= < 4 years,2,none,2,car or other,27,store,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,car (new),5866,100 <= <500 DM,1<= < 4 years,2,none,2,car or other,30,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,12,critical account,business,1264,no savings account,>=7 years,4,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,1
>= 200 DM ,12,existing credits paid back duly till now,furniture/equipment,1474,<100 DM,<1 years,4,none,1,savings agreement/life insurance,33,bank,own,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1
0 <= <200 DM,45,critical account,radio/television,4746,<100 DM,<1 years,4,none,2,savings agreement/life insurance,25,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,0
no account,48,critical account,education,6110,<100 DM,1<= < 4 years,1,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
>= 200 DM ,18,existing credits paid back duly till now,radio/television,2100,<100 DM,1<= < 4 years,4,co-applicant,2,real estate,37,store,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
>= 200 DM ,10,existing credits paid back duly till now,domestic appliances,1225,<100 DM,1<= < 4 years,2,none,2,car or other,37,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,9,existing credits paid back duly till now,radio/television,458,<100 DM,1<= < 4 years,4,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,30,existing credits paid back duly till now,radio/television,2333,500 <= < 1000 DM,>=7 years,4,none,2,car or other,30,bank,own,1,management/ highly qualified employee,1,none,yes,male,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,radio/television,1158,500 <= < 1000 DM,1<= < 4 years,3,none,1,car or other,26,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,18,delay in paying off,repairs,6204,<100 DM,1<= < 4 years,2,none,4,real estate,44,none,own,1,unskilled - resident,2,yes,yes,male,divorced/separated,1
<0 DM,30,critical account,car (used),6187,100 <= <500 DM,4<= <7 years,1,none,4,car or other,24,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed,1
<0 DM,48,critical account,car (used),6143,<100 DM,>=7 years,4,none,4,unknown / no property,58,store,for free,2,unskilled - resident,1,none,yes,female,divorced/separated,0
no account,11,critical account,car (new),1393,<100 DM,<1 years,4,none,4,car or other,35,none,own,2,management/ highly qualified employee,1,none,yes,female,divorced/separated,1
no account,36,existing credits paid back duly till now,radio/television,2299,500 <= < 1000 DM,>=7 years,4,none,4,car or other,39,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,6,existing credits paid back duly till now,car (used),1352,500 <= < 1000 DM,unemployed,1,none,2,savings agreement/life insurance,23,none,rent,1,unemployed/ unskilled  - non-resident,1,yes,yes,female,divorced/separated,1
no account,11,critical account,car (new),7228,<100 DM,1<= < 4 years,1,none,4,savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,12,existing credits paid back duly till now,radio/television,2073,100 <= <500 DM,1<= < 4 years,4,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,24,delay in paying off,furniture/equipment,2333,no savings account,<1 years,4,none,2,savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1
0 <= <200 DM,27,delay in paying off,car (used),5965,<100 DM,>=7 years,1,none,2,car or other,30,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
no account,12,existing credits paid back duly till now,radio/television,1262,<100 DM,1<= < 4 years,3,none,2,car or other,25,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,18,existing credits paid back duly till now,car (used),3378,no savings account,1<= < 4 years,2,none,1,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,36,delay in paying off,car (new),2225,<100 DM,>=7 years,4,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,6,all credits at this bank paid back duly,car (new),783,no savings account,1<= < 4 years,1,guarantor,2,real estate,26,store,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,radio/television,6468,no savings account,unemployed,2,none,1,unknown / no property,52,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0
no account,36,critical account,radio/television,9566,<100 DM,1<= < 4 years,2,none,2,car or other,31,store,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1
>= 200 DM ,18,existing credits paid back duly till now,car (new),1961,<100 DM,>=7 years,3,none,2,car or other,23,none,own,1,management/ highly qualified employee,1,none,yes,female,divorced/separated,1
<0 DM,36,critical account,furniture/equipment,6229,<100 DM,<1 years,4,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,yes,yes,female,divorced/separated,0
0 <= <200 DM,9,existing credits paid back duly till now,business,1391,<100 DM,1<= < 4 years,2,none,1,real estate,27,bank,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1
0 <= <200 DM,15,critical account,radio/television,1537,no savings account,>=7 years,4,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,36,no credits taken,business,1953,<100 DM,>=7 years,4,none,4,unknown / no property,61,none,for free,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0
0 <= <200 DM,48,no credits taken,business,14421,<100 DM,1<= < 4 years,2,none,2,car or other,25,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,24,existing credits paid back duly till now,radio/television,3181,<100 DM,<1 years,4,none,4,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
no account,27,existing credits paid back duly till now,repairs,5190,no savings account,>=7 years,4,none,4,savings agreement/life insurance,48,none,own,4,skilled employee / official,2,yes,yes,male,divorced/separated,1
no account,12,existing credits paid back duly till now,radio/television,2171,<100 DM,<1 years,2,none,2,car or other,29,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,car (new),1007,>= 1000 DM,1<= < 4 years,4,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
no account,36,existing credits paid back duly till now,education,1819,<100 DM,1<= < 4 years,4,none,4,unknown / no property,37,store,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,36,existing credits paid back duly till now,radio/television,2394,no savings account,1<= < 4 years,4,none,4,car or other,25,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,36,existing credits paid back duly till now,car (used),8133,<100 DM,1<= < 4 years,1,none,2,savings agreement/life insurance,30,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
no account,7,critical account,radio/television,730,no savings account,>=7 years,4,none,2,savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,male,divorced/separated,1
<0 DM,8,critical account,others,1164,<100 DM,>=7 years,3,none,4,unknown / no property,51,bank,for free,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
0 <= <200 DM,42,critical account,business,5954,<100 DM,4<= <7 years,2,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,female,divorced/separated,1
<0 DM,36,existing credits paid back duly till now,education,1977,no savings account,>=7 years,4,none,4,unknown / no property,40,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0
<0 DM,12,critical account,car (used),1526,<100 DM,>=7 years,4,none,4,unknown / no property,66,none,for free,2,management/ highly qualified employee,1,none,yes,male,divorced/separated,1
<0 DM,42,existing credits paid back duly till now,radio/television,3965,<100 DM,<1 years,4,none,3,car or other,34,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
0 <= <200 DM,11,delay in paying off,radio/television,4771,<100 DM,4<= <7 years,2,none,4,savings agreement/life insurance,51,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,54,no credits taken,car (used),9436,no savings account,1<= < 4 years,2,none,2,savings agreement/life insurance,39,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1
0 <= <200 DM,30,existing credits paid back duly till now,furniture/equipment,3832,<100 DM,<1 years,2,none,1,savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
no account,24,existing credits paid back duly till now,radio/television,5943,no savings account,<1 years,1,none,1,car or other,44,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,0
no account,15,existing credits paid back duly till now,radio/television,1213,500 <= < 1000 DM,>=7 years,4,none,3,savings agreement/life insurance,47,store,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,18,existing credits paid back duly till now,business,1568,100 <= <500 DM,1<= < 4 years,3,none,4,savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,none,yes,female,divorced/separated,1
<0 DM,24,existing credits paid back duly till now,others,1755,<100 DM,>=7 years,4,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,female,divorced/separated,1
<0 DM,10,existing credits paid back duly till now,radio/television,2315,<100 DM,>=7 years,3,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,12,critical account,business,1412,<100 DM,1<= < 4 years,4,guarantor,2,real estate,29,none,own,2,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1
0 <= <200 DM,18,critical account,furniture/equipment,1295,<100 DM,<1 years,4,none,1,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,36,existing credits paid back duly till now,education,12612,100 <= <500 DM,1<= < 4 years,1,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,0
<0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= <500 DM,4<= <7 years,4,none,3,car or other,30,none,own,1,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
<0 DM,12,no credits taken,repairs,1108,<100 DM,4<= <7 years,4,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,12,critical account,radio/television,618,<100 DM,>=7 years,4,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,12,critical account,car (used),1409,<100 DM,>=7 years,4,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,12,critical account,radio/television,797,no savings account,>=7 years,4,none,3,savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,none,yes,female,divorced/separated,0
>= 200 DM ,24,critical account,furniture/equipment,3617,no savings account,>=7 years,4,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,car (new),1318,>= 1000 DM,>=7 years,4,none,4,real estate,54,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,54,no credits taken,business,15945,<100 DM,<1 years,3,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,12,critical account,education,2012,no savings account,4<= <7 years,4,none,2,car or other,61,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,business,2622,100 <= <500 DM,1<= < 4 years,4,none,4,car or other,34,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,36,critical account,radio/television,2337,<100 DM,>=7 years,4,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,20,delay in paying off,car (used),7057,no savings account,4<= <7 years,3,none,4,savings agreement/life insurance,36,bank,rent,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1
no account,24,existing credits paid back duly till now,car (new),1469,100 <= <500 DM,>=7 years,4,none,4,real estate,41,none,rent,1,unskilled - resident,1,none,yes,male,married/widowed,1
0 <= <200 DM,36,existing credits paid back duly till now,radio/television,2323,<100 DM,4<= <7 years,4,none,4,car or other,24,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,6,delay in paying off,radio/television,932,<100 DM,1<= < 4 years,3,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,9,critical account,furniture/equipment,1919,<100 DM,4<= <7 years,4,none,3,car or other,35,none,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
no account,12,existing credits paid back duly till now,car (used),2445,no savings account,<1 years,2,none,4,car or other,26,none,rent,1,skilled employee / official,1,yes,yes,male,married/widowed,1
0 <= <200 DM,24,critical account,others,11938,<100 DM,1<= < 4 years,2,co-applicant,3,car or other,39,none,own,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,0
no account,18,all credits at this bank paid back duly,car (new),6458,<100 DM,>=7 years,2,none,4,unknown / no property,39,bank,own,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,0
0 <= <200 DM,12,existing credits paid back duly till now,car (new),6078,<100 DM,4<= <7 years,2,none,2,car or other,32,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,24,existing credits paid back duly till now,furniture/equipment,7721,no savings account,<1 years,1,none,2,savings agreement/life insurance,30,none,own,1,skilled employee / official,1,yes,no,female,divorced/separated,1
0 <= <200 DM,14,existing credits paid back duly till now,business,1410,500 <= < 1000 DM,>=7 years,1,none,2,real estate,35,none,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1
0 <= <200 DM,6,delay in paying off,business,1449,100 <= <500 DM,>=7 years,1,none,2,car or other,31,bank,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1
>= 200 DM ,15,existing credits paid back duly till now,education,392,<100 DM,<1 years,4,none,4,savings agreement/life insurance,23,none,rent,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,car (new),6260,<100 DM,4<= <7 years,3,none,3,real estate,28,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,36,critical account,car (new),7855,<100 DM,1<= < 4 years,4,none,2,real estate,25,store,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,0
<0 DM,12,existing credits paid back duly till now,radio/television,1680,500 <= < 1000 DM,>=7 years,3,none,1,real estate,35,none,own,1,skilled employee / official,1,none,yes,male,married/widowed,1
no account,48,critical account,radio/television,3578,no savings account,>=7 years,4,none,1,real estate,47,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1
<0 DM,42,existing credits paid back duly till now,radio/television,7174,no savings account,4<= <7 years,4,none,3,car or other,30,none,own,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,0
<0 DM,10,critical account,furniture/equipment,2132,no savings account,<1 years,2,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1,none,no,female,divorced/separated,1
<0 DM,33,critical account,furniture/equipment,4281,500 <= < 1000 DM,1<= < 4 years,1,none,4,car or other,23,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,0
0 <= <200 DM,12,critical account,car (new),2366,500 <= < 1000 DM,4<= <7 years,3,none,3,car or other,36,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
<0 DM,21,existing credits paid back duly till now,radio/television,1835,<100 DM,1<= < 4 years,3,none,2,real estate,25,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,0
no account,24,critical account,car (used),3868,<100 DM,>=7 years,4,none,2,car or other,41,none,rent,2,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1
no account,12,existing credits paid back duly till now,furniture/equipment,1768,<100 DM,1<= < 4 years,3,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,1
>= 200 DM ,10,critical account,car (new),781,<100 DM,>=7 years,4,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
0 <= <200 DM,18,existing credits paid back duly till now,furniture/equipment,1924,no savings account,<1 years,4,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0
<0 DM,12,critical account,car (new),2121,<100 DM,1<= < 4 years,4,none,2,savings agreement/life insurance,30,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,radio/television,701,<100 DM,1<= < 4 years,4,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
0 <= <200 DM,12,existing credits paid back duly till now,repairs,639,<100 DM,1<= < 4 years,4,none,2,car or other,30,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
0 <= <200 DM,12,critical account,car (used),1860,<100 DM,unemployed,4,none,2,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
<0 DM,12,critical account,car (new),3499,<100 DM,1<= < 4 years,3,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,0
0 <= <200 DM,48,existing credits paid back duly till now,car (new),8487,no savings account,4<= <7 years,1,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1
<0 DM,36,delay in paying off,education,6887,<100 DM,1<= < 4 years,4,none,3,savings agreement/life insurance,29,store,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0
no account,15,existing credits paid back duly till now,furniture/equipment,2708,<100 DM,<1 years,2,none,3,savings agreement/life insurance,27,bank,own,2,unskilled - resident,1,none,yes,male,divorced/separated,1
no account,18,existing credits paid back duly till now,furniture/equipment,1984,<100 DM,1<= < 4 years,4,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,60,existing credits paid back duly till now,radio/television,10144,100 <= <500 DM,4<= <7 years,2,none,4,real estate,21,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
no account,12,critical account,radio/television,1240,no savings account,>=7 years,4,none,2,real estate,38,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1
no account,27,delay in paying off,car (used),8613,>= 1000 DM,1<= < 4 years,2,none,2,car or other,27,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= < 1000 DM,1<= < 4 years,4,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,0
0 <= <200 DM,15,critical account,radio/television,2728,no savings account,4<= <7 years,4,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,yes,yes,male,divorced/separated,1
>= 200 DM ,12,existing credits paid back duly till now,radio/television,1881,<100 DM,1<= < 4 years,2,none,2,car or other,44,none,rent,1,unskilled - resident,1,yes,yes,female,divorced/separated,1
>= 200 DM ,6,existing credits paid back duly till now,car (new),709,>= 1000 DM,<1 years,2,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,no,male,married/widowed,1
0 <= <200 DM,36,existing credits paid back duly till now,radio/television,4795,<100 DM,<1 years,4,none,1,unknown / no property,30,none,own,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1
<0 DM,27,existing credits paid back duly till now,radio/television,3416,<100 DM,1<= < 4 years,3,none,2,car or other,27,none,own,1,management/ highly qualified employee,1,none,yes,male,divorced/separated,1
<0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,<100 DM,1<= < 4 years,2,none,2,car or other,22,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0
no account,21,critical account,furniture/equipment,2288,<100 DM,<1 years,4,none,4,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1
0 <= <200 DM,48,all credits at this bank paid back duly,business,3566,100 <= <500 DM,4<= <7 years,4,none,2,car or other,30,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
<0 DM,6,critical account,car (new),860,<100 DM,>=7 years,1,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1
no account,12,critical account,car (new),682,100 <= <500 DM,4<= <7 years,4,none,3,car or other,51,none,own,2,skilled employee / official,1,yes,yes,female,divorced/separated,1
<0 DM,36,critical account,furniture/equipment,5371,<100 DM,1<= < 4 years,3,guarantor,2,savings agreement/life insurance,28,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,18,critical account,radio/television,1582,>= 1000 DM,>=7 years,4,none,4,car or other,46,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1
no account,6,existing credits paid back duly till now,radio/television,1346,100 <= <500 DM,>=7 years,2,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,1
no account,10,existing credits paid back duly till now,radio/television,1924,<100 DM,1<= < 4 years,1,none,4,savings agreement/life insurance,38,none,own,1,skilled employee / official,1,yes,no,male,divorced/separated,1
>= 200 DM ,36,existing credits paid back duly till now,radio/television,5848,<100 DM,1<= < 4 years,4,none,1,car or other,24,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1
0 <= <200 DM,24,critical account,car (used),7758,>= 1000 DM,>=7 years,2,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1
0 <= <200 DM,24,delay in paying off,business,6967,100 <= <500 DM,4<= <7 years,4,none,4,car or other,36,none,rent,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1
<0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,<100 DM,1<= < 4 years,2,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0
<0 DM,9,critical account,repairs,1288,100 <= <500 DM,>=7 years,3,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,male,divorced/separated,1
<0 DM,12,all credits at this bank paid back duly,retraining,339,<100 DM,>=7 years,4,none,1,car or other,45,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed,1
0 <= <200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= <500 DM,4<= <7 years,2,none,3,car or other,38,bank,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1
