decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,tier,race,pass_bar
8.0,4.0,42.0,2.3,0.81,-0.3,1.0,3.0,1.0,3.0,White,1.0
7.0,6.0,36.0,3.3,0.45,0.23,1.0,4.0,1.0,3.0,White,1.0
9.0,8.0,42.0,3.0,1.05,0.62,1.0,3.0,1.0,3.0,White,1.0
10.0,10.0,40.0,3.5,1.34,1.41,2.0,2.0,1.0,3.0,White,1.0
8.0,9.0,29.0,2.8,0.81,1.37,1.0,2.0,0.0,1.0,Non-White,1.0
4.0,4.0,36.0,3.3,-0.39,-0.35,1.0,4.0,1.0,3.0,White,1.0
9.0,9.0,36.0,2.9,0.91,1.2,1.0,4.0,1.0,3.0,White,1.0
4.0,4.0,37.0,2.7,-0.33,-0.3,1.0,4.0,0.0,3.0,White,1.0
6.0,5.0,35.0,3.1,0.31,-0.01,1.0,5.0,0.0,4.0,White,1.0
4.0,3.0,41.0,3.4,-0.38,-0.83,1.0,3.0,0.0,4.0,White,0.0
6.0,5.0,42.0,2.9,0.1,-0.18,1.0,4.0,1.0,3.0,White,1.0
2.0,3.0,33.5,3.4,-0.91,-0.57,1.0,4.0,0.0,6.0,White,1.0
2.0,2.0,32.0,3.0,-1.02,-1.33,1.0,3.0,0.0,4.0,Non-White,0.0
6.0,5.0,36.0,3.7,0.12,-0.13,1.0,4.0,0.0,2.0,White,1.0
2.0,3.0,34.5,3.3,-0.95,-0.8,1.0,4.0,0.0,6.0,White,1.0
1.0,2.0,32.0,3.0,-1.26,-1.02,1.0,4.0,0.0,2.0,White,1.0
9.0,9.0,35.0,3.3,0.91,1.26,1.0,4.0,1.0,2.0,White,1.0
9.0,8.0,34.0,2.9,1.31,0.64,1.0,2.0,0.0,4.0,White,1.0
5.0,3.0,27.0,3.1,0.05,-0.68,1.0,2.0,1.0,1.0,Non-White,1.0
7.0,9.0,39.0,3.4,0.36,1.23,2.0,3.0,1.0,5.0,White,1.0
4.0,2.0,40.0,3.5,-0.44,-1.01,1.0,4.0,1.0,5.0,White,1.0
2.0,2.0,32.0,3.9,-0.88,-1.14,1.0,4.0,1.0,2.0,White,1.0
3.0,2.0,42.0,3.3,-0.64,-1.1,1.0,3.0,0.0,4.0,White,1.0
8.0,10.0,35.0,2.9,0.8,1.53,2.0,3.0,1.0,5.0,White,1.0
3.0,5.0,34.0,2.9,-0.36,-0.08,1.0,2.0,0.0,1.0,Non-White,1.0
2.0,1.0,38.0,3.2,-0.98,-1.72,1.0,4.0,0.0,4.0,White,1.0
2.0,2.0,42.0,3.4,-0.84,-0.93,1.0,3.0,1.0,4.0,White,1.0
4.0,4.0,38.0,3.6,-0.4,-0.46,1.0,4.0,0.0,4.0,White,1.0
3.0,3.0,37.0,3.2,-0.65,-0.59,1.0,3.0,0.0,4.0,White,1.0
5.0,7.0,41.0,3.8,0.02,0.33,1.0,3.0,1.0,6.0,White,1.0
9.0,8.0,32.0,3.1,1.04,0.64,1.0,3.0,0.0,3.0,White,1.0
1.0,1.0,29.0,2.8,-1.13,-1.49,1.0,4.0,0.0,3.0,White,0.0
7.0,9.0,40.0,3.4,0.55,1.01,1.0,4.0,1.0,4.0,White,1.0
8.0,5.0,37.0,2.7,0.61,-0.27,1.0,3.0,1.0,3.0,White,1.0
4.0,4.0,44.0,3.4,-0.31,-0.35,1.0,3.0,0.0,6.0,Non-White,1.0
9.0,9.0,41.0,3.4,0.89,0.94,1.0,4.0,1.0,2.0,White,1.0
6.0,7.0,42.0,3.8,0.35,0.35,1.0,4.0,0.0,6.0,White,1.0
7.0,8.0,41.5,3.2,0.43,0.73,1.0,3.0,0.0,5.0,White,1.0
1.0,2.0,41.0,2.9,-1.13,-0.94,1.0,4.0,1.0,3.0,White,1.0
4.0,7.0,40.0,3.8,-0.41,0.46,1.0,3.0,1.0,5.0,White,1.0
10.0,3.0,28.3,3.1,1.54,-0.82,1.0,2.0,0.0,5.0,White,1.0
6.0,2.0,38.0,2.8,0.2,-1.06,1.0,5.0,1.0,3.0,White,1.0
4.0,4.0,40.0,3.2,-0.18,-0.39,1.0,4.0,0.0,4.0,White,1.0
6.0,5.0,25.0,2.6,0.26,-0.09,1.0,3.0,1.0,4.0,White,1.0
5.0,3.0,25.0,2.7,-0.02,-0.74,1.0,2.0,1.0,4.0,White,1.0
7.0,5.0,28.0,3.5,0.48,-0.04,1.0,2.0,0.0,1.0,Non-White,0.0
2.0,2.0,33.0,3.5,-0.84,-1.19,1.0,4.0,0.0,2.0,White,0.0
5.0,5.0,36.0,3.5,0.09,-0.01,1.0,3.0,0.0,4.0,White,1.0
8.0,8.0,48.0,3.4,0.77,0.74,1.0,3.0,0.0,3.0,White,1.0
5.0,3.0,34.5,3.0,-0.03,-0.64,1.0,2.0,1.0,3.0,White,1.0
5.0,8.0,41.0,3.2,-0.02,0.65,1.0,5.0,1.0,3.0,White,1.0
5.0,5.0,34.0,2.8,0.01,-0.13,1.0,3.0,0.0,3.0,White,1.0
7.0,7.0,24.0,3.2,0.41,0.32,1.0,3.0,0.0,1.0,White,1.0
9.0,9.0,35.5,3.8,1.27,1.0,1.0,4.0,1.0,3.0,White,1.0
6.0,5.0,33.0,2.0,0.3,-0.05,1.0,3.0,1.0,3.0,White,1.0
5.0,4.0,28.0,2.3,-0.16,-0.5,1.0,3.0,0.0,3.0,Non-White,1.0
6.0,7.0,31.0,3.5,0.3,0.34,1.0,2.0,0.0,3.0,White,1.0
7.0,7.0,41.0,3.8,0.48,0.35,1.0,3.0,0.0,4.0,White,1.0
6.0,3.0,35.5,3.1,0.14,-0.65,1.0,5.0,0.0,5.0,White,1.0
3.0,4.0,31.0,3.7,-0.54,-0.33,1.0,2.0,0.0,2.0,White,0.0
7.0,6.0,44.0,2.1,0.51,0.09,1.0,4.0,0.0,3.0,White,1.0
7.0,7.0,36.0,3.6,0.45,0.44,1.0,3.0,0.0,3.0,White,1.0
4.0,5.0,36.0,3.1,-0.25,-0.05,1.0,5.0,1.0,4.0,White,1.0
1.0,1.0,44.0,3.7,-1.26,-1.42,1.0,3.0,1.0,4.0,White,1.0
2.0,1.0,44.0,2.7,-1.03,-1.85,1.0,2.0,1.0,5.0,White,1.0
7.0,5.0,32.0,3.0,0.37,-0.1,1.0,4.0,1.0,3.0,White,1.0
6.0,6.0,42.0,3.5,0.09,0.08,1.0,3.0,1.0,4.0,White,1.0
2.0,3.0,33.0,2.8,-0.91,-0.82,1.0,3.0,1.0,2.0,White,0.0
4.0,9.0,31.0,3.1,-0.19,1.07,1.0,4.0,1.0,1.0,Non-White,1.0
7.0,4.0,34.0,3.6,0.45,-0.5,2.0,4.0,1.0,4.0,White,1.0
10.0,8.0,39.0,3.3,1.34,0.64,1.0,4.0,1.0,4.0,White,1.0
6.0,5.0,33.0,3.7,0.27,-0.14,1.0,3.0,0.0,4.0,White,1.0
7.0,4.0,42.0,3.7,0.4,-0.37,1.0,3.0,1.0,4.0,White,1.0
7.0,7.0,41.0,3.0,0.34,0.35,1.0,4.0,1.0,3.0,White,1.0
5.0,7.0,33.0,3.6,0.0,0.4,1.0,3.0,1.0,4.0,White,1.0
2.0,1.0,34.0,3.3,-0.92,-1.86,2.0,3.0,0.0,4.0,White,0.0
2.0,4.0,43.0,2.5,-0.81,-0.36,2.0,4.0,1.0,3.0,White,1.0
9.0,9.0,37.0,3.7,1.08,0.98,1.0,3.0,1.0,3.0,White,1.0
10.0,9.0,40.0,2.7,1.49,1.14,1.0,3.0,1.0,3.0,White,1.0
8.0,9.0,35.0,3.0,0.76,0.94,1.0,4.0,0.0,3.0,White,1.0
10.0,10.0,38.0,3.6,1.39,1.6,1.0,2.0,0.0,3.0,White,1.0
7.0,6.0,34.0,3.3,0.39,0.24,1.0,4.0,0.0,3.0,White,1.0
6.0,8.0,42.0,3.8,0.26,0.62,1.0,4.0,1.0,4.0,White,1.0
7.0,9.0,47.0,2.5,0.44,1.08,1.0,4.0,0.0,4.0,White,1.0
2.0,1.0,40.0,3.1,-1.03,-1.78,1.0,4.0,0.0,5.0,Non-White,0.0
5.0,5.0,34.0,2.8,0.02,-0.07,1.0,4.0,0.0,4.0,White,1.0
4.0,3.0,34.0,3.5,-0.2,-0.57,1.0,4.0,0.0,3.0,White,1.0
8.0,9.0,38.0,3.0,0.7,0.89,1.0,4.0,1.0,3.0,White,1.0
3.0,3.0,33.0,3.1,-0.52,-0.76,2.0,3.0,1.0,3.0,White,1.0
7.0,8.0,37.0,2.9,0.39,0.73,1.0,4.0,1.0,3.0,White,1.0
6.0,7.0,37.0,3.6,0.19,0.3,1.0,4.0,0.0,3.0,White,1.0
3.0,4.0,34.0,3.2,-0.54,-0.44,1.0,3.0,1.0,2.0,White,1.0
6.0,6.0,39.0,3.5,0.23,0.11,1.0,4.0,1.0,5.0,Non-White,1.0
8.0,8.0,40.0,3.7,0.8,0.64,1.0,4.0,1.0,4.0,White,1.0
10.0,10.0,42.0,3.9,2.18,2.0,1.0,4.0,0.0,5.0,White,1.0
3.0,3.0,26.0,3.1,-0.58,-0.69,1.0,4.0,0.0,2.0,White,0.0
1.0,2.0,40.0,3.0,-1.82,-1.27,1.0,4.0,1.0,4.0,White,1.0
5.0,3.0,33.0,3.5,-0.08,-0.6,1.0,4.0,0.0,5.0,White,0.0
1.0,1.0,34.0,3.0,-2.51,-1.5,1.0,4.0,1.0,2.0,White,1.0
3.0,5.0,37.0,2.4,-0.51,-0.27,2.0,4.0,1.0,2.0,White,1.0
1.0,3.0,42.0,3.3,-1.59,-0.82,1.0,4.0,1.0,3.0,White,1.0
2.0,2.0,48.0,3.2,-0.84,-1.09,1.0,3.0,1.0,6.0,Non-White,1.0
3.0,3.0,25.5,2.5,-0.4,-0.75,1.0,4.0,1.0,1.0,White,1.0
5.0,4.0,40.0,3.9,-0.16,-0.37,1.0,3.0,0.0,4.0,White,1.0
8.0,10.0,40.0,4.0,0.66,1.57,1.0,4.0,0.0,4.0,White,1.0
8.0,7.0,35.5,3.4,0.85,0.37,1.0,4.0,1.0,3.0,White,1.0
10.0,9.0,33.0,3.8,1.58,1.24,1.0,2.0,1.0,3.0,White,1.0
6.0,5.0,34.0,3.7,0.33,-0.01,1.0,4.0,0.0,4.0,White,1.0
9.0,7.0,33.0,3.4,1.01,0.41,1.0,4.0,0.0,3.0,White,1.0
5.0,5.0,44.0,3.5,-0.15,-0.03,1.0,3.0,0.0,4.0,White,1.0
2.0,3.0,37.0,2.4,-1.1,-0.73,1.0,3.0,0.0,3.0,White,1.0
8.0,7.0,38.0,3.3,0.61,0.4,1.0,4.0,0.0,3.0,White,1.0
6.0,7.0,41.0,3.4,0.12,0.4,1.0,4.0,0.0,4.0,White,1.0
7.0,8.0,35.0,3.7,0.45,0.59,1.0,4.0,1.0,4.0,White,1.0
7.0,8.0,40.0,3.8,0.55,0.65,1.0,4.0,0.0,6.0,White,1.0
10.0,10.0,40.0,2.7,1.49,1.56,2.0,3.0,1.0,3.0,White,1.0
9.0,9.0,37.0,3.6,1.21,1.22,1.0,3.0,1.0,4.0,White,1.0
7.0,4.0,36.0,2.6,0.39,-0.39,1.0,4.0,1.0,3.0,White,1.0
10.0,10.0,44.0,3.3,1.57,1.72,1.0,5.0,1.0,4.0,White,1.0
8.0,10.0,37.0,3.3,0.82,1.52,1.0,3.0,1.0,5.0,White,1.0
9.0,10.0,37.0,3.4,1.02,2.04,2.0,4.0,0.0,3.0,White,1.0
2.0,1.0,32.3,2.5,-0.79,-1.75,1.0,4.0,0.0,3.0,White,1.0
1.0,1.0,29.0,3.3,-1.59,-1.42,1.0,2.0,1.0,4.0,Non-White,1.0
5.0,6.0,40.0,2.7,-0.12,0.03,1.0,4.0,0.0,4.0,White,1.0
4.0,6.0,33.0,3.2,-0.21,0.01,1.0,4.0,1.0,3.0,White,1.0
7.0,7.0,40.0,3.8,0.4,0.51,1.0,3.0,1.0,3.0,White,1.0
4.0,6.0,33.0,2.7,-0.24,0.1,1.0,4.0,0.0,3.0,White,1.0
2.0,2.0,43.0,3.6,-1.07,-0.94,1.0,2.0,1.0,6.0,Non-White,1.0
9.0,3.0,26.0,2.6,1.28,-0.85,2.0,4.0,1.0,4.0,White,0.0
4.0,5.0,32.0,3.3,-0.37,-0.15,1.0,4.0,0.0,3.0,White,0.0
6.0,7.0,35.5,3.7,0.15,0.32,1.0,4.0,0.0,5.0,White,1.0
10.0,3.0,32.0,3.4,1.34,-0.78,2.0,3.0,0.0,3.0,White,1.0
2.0,2.0,46.0,2.9,-0.86,-1.09,1.0,4.0,1.0,3.0,White,1.0
6.0,8.0,40.0,3.0,0.14,0.57,1.0,3.0,1.0,4.0,White,1.0
10.0,10.0,35.0,3.4,1.34,1.42,1.0,4.0,0.0,4.0,White,1.0
10.0,4.0,46.0,2.2,2.72,-0.36,1.0,4.0,1.0,6.0,White,1.0
9.0,7.0,38.0,3.0,0.96,0.3,1.0,3.0,1.0,4.0,White,1.0
4.0,7.0,36.0,3.9,-0.25,0.39,1.0,3.0,1.0,5.0,White,1.0
7.0,8.0,33.5,3.1,0.34,0.55,1.0,4.0,0.0,2.0,White,1.0
3.0,6.0,32.0,3.5,-0.56,-0.01,1.0,3.0,0.0,3.0,White,1.0
3.0,2.0,31.5,3.6,-0.67,-1.3,1.0,4.0,1.0,3.0,White,0.0
7.0,8.0,42.0,3.4,0.55,0.7,1.0,2.0,1.0,5.0,White,1.0
6.0,7.0,41.0,3.2,0.19,0.45,1.0,4.0,0.0,4.0,White,1.0
4.0,2.0,46.0,3.8,-0.25,-1.04,1.0,3.0,0.0,5.0,White,1.0
6.0,6.0,38.0,3.6,0.22,0.18,1.0,4.0,0.0,4.0,White,1.0
8.0,9.0,42.0,3.2,0.82,1.09,1.0,4.0,0.0,3.0,White,1.0
2.0,3.0,35.5,3.2,-1.06,-0.7,2.0,4.0,1.0,4.0,White,1.0
9.0,7.0,34.0,3.3,1.19,0.44,2.0,3.0,1.0,3.0,White,1.0
3.0,1.0,32.0,2.7,-0.5,-1.36,1.0,2.0,0.0,3.0,Non-White,1.0
4.0,8.0,32.0,3.1,-0.37,0.67,1.0,4.0,1.0,3.0,White,1.0
1.0,3.0,42.0,3.3,-1.13,-0.58,1.0,4.0,0.0,3.0,White,1.0
8.0,8.0,41.0,4.0,0.63,0.76,1.0,2.0,0.0,6.0,White,1.0
5.0,3.0,36.0,2.9,-0.12,-0.63,1.0,4.0,1.0,3.0,White,1.0
9.0,10.0,33.0,3.1,1.19,1.7,1.0,3.0,1.0,3.0,White,1.0
9.0,7.0,23.0,2.8,1.0,0.48,1.0,3.0,1.0,1.0,Non-White,1.0
3.0,3.0,23.0,3.1,-0.44,-0.77,1.0,5.0,1.0,3.0,Non-White,1.0
10.0,10.0,40.0,3.3,2.15,1.84,1.0,3.0,1.0,3.0,White,1.0
2.0,1.0,36.0,3.0,-0.94,-1.32,1.0,3.0,1.0,3.0,White,0.0
9.0,9.0,37.0,3.3,1.04,0.97,1.0,3.0,0.0,3.0,White,1.0
2.0,1.0,30.0,2.9,-0.86,-1.43,1.0,4.0,1.0,6.0,White,0.0
1.0,1.0,27.0,2.6,-1.23,-1.72,2.0,1.0,0.0,4.0,Non-White,0.0
1.0,1.0,23.0,2.6,-1.42,-1.77,1.0,3.0,0.0,4.0,Non-White,1.0
7.0,9.0,38.0,2.7,0.35,0.94,1.0,3.0,1.0,5.0,White,1.0
10.0,10.0,45.0,3.1,2.23,2.14,1.0,4.0,0.0,2.0,White,0.0
3.0,1.0,40.0,2.6,-0.44,-1.36,1.0,4.0,0.0,3.0,White,0.0
3.0,4.0,40.0,3.6,-0.45,-0.4,1.0,4.0,1.0,4.0,White,1.0
7.0,7.0,40.0,3.6,0.4,0.3,1.0,3.0,1.0,4.0,White,1.0
10.0,10.0,38.0,2.6,1.75,1.94,2.0,4.0,1.0,3.0,White,1.0
3.0,3.0,39.5,3.6,-0.69,-0.51,1.0,4.0,0.0,6.0,White,1.0
2.0,5.0,33.5,3.2,-0.83,-0.17,1.0,3.0,0.0,5.0,White,1.0
6.0,6.0,42.0,3.2,0.08,0.02,1.0,4.0,1.0,3.0,White,1.0
7.0,8.0,30.0,3.2,0.54,0.74,1.0,4.0,1.0,3.0,White,1.0
9.0,9.0,35.0,3.2,1.21,1.07,1.0,2.0,1.0,2.0,White,1.0
8.0,9.0,42.0,3.4,0.86,1.05,1.0,3.0,1.0,4.0,White,1.0
10.0,9.0,42.0,4.0,1.5,1.22,1.0,3.0,1.0,4.0,White,1.0
9.0,9.0,41.0,2.9,1.06,0.96,1.0,3.0,0.0,5.0,White,1.0
7.0,9.0,41.0,3.9,0.61,1.24,1.0,4.0,1.0,6.0,White,1.0
2.0,2.0,39.0,3.4,-0.89,-0.97,1.0,4.0,1.0,4.0,White,1.0
8.0,8.0,40.0,3.3,0.86,0.78,1.0,3.0,0.0,4.0,White,1.0
1.0,1.0,30.0,3.5,-1.32,-1.51,1.0,3.0,0.0,3.0,White,1.0
5.0,7.0,37.0,3.4,-0.06,0.27,1.0,4.0,0.0,6.0,White,1.0
10.0,10.0,36.0,3.9,1.77,1.91,1.0,2.0,1.0,5.0,Non-White,1.0
5.0,5.0,36.0,3.5,-0.12,-0.06,1.0,3.0,0.0,4.0,White,1.0
3.0,3.0,33.0,2.9,-0.47,-0.65,1.0,3.0,1.0,3.0,White,1.0
7.0,7.0,38.0,3.5,0.55,0.46,1.0,3.0,0.0,3.0,White,1.0
1.0,1.0,31.0,3.1,-1.99,-2.03,1.0,1.0,1.0,6.0,Non-White,1.0
8.0,9.0,46.0,3.6,0.69,1.01,1.0,1.0,1.0,5.0,White,1.0
6.0,5.0,37.0,2.9,0.2,-0.14,1.0,4.0,1.0,4.0,White,1.0
2.0,3.0,29.0,2.5,-0.75,-0.78,1.0,4.0,0.0,3.0,White,0.0
1.0,1.0,40.0,3.4,-1.53,-1.49,1.0,2.0,1.0,6.0,Non-White,1.0
9.0,9.0,35.0,3.5,1.26,0.98,1.0,4.0,1.0,3.0,White,1.0
9.0,8.0,37.0,2.9,0.92,0.62,1.0,5.0,0.0,3.0,White,1.0
10.0,10.0,44.0,3.8,1.36,1.5,1.0,3.0,0.0,5.0,White,1.0
10.0,9.0,40.0,3.6,1.4,0.91,1.0,3.0,0.0,3.0,White,1.0
10.0,10.0,43.0,3.6,2.45,2.8,1.0,2.0,0.0,6.0,White,1.0
6.0,6.0,36.0,3.2,0.17,0.08,1.0,4.0,1.0,4.0,White,1.0
7.0,7.0,36.0,3.9,0.6,0.3,1.0,2.0,0.0,6.0,Non-White,1.0
8.0,7.0,37.0,3.8,0.64,0.45,1.0,3.0,0.0,4.0,White,1.0
7.0,8.0,37.0,3.7,0.59,0.75,1.0,3.0,0.0,4.0,White,1.0
8.0,7.0,42.0,3.9,0.61,0.47,1.0,3.0,0.0,3.0,White,1.0
9.0,10.0,44.0,3.6,1.26,1.57,1.0,3.0,1.0,6.0,White,1.0
5.0,7.0,40.0,3.7,-0.05,0.4,1.0,4.0,0.0,4.0,White,0.0
8.0,8.0,31.0,3.5,0.61,0.7,1.0,3.0,0.0,2.0,White,1.0
2.0,5.0,39.0,3.0,-0.9,-0.09,1.0,3.0,0.0,4.0,White,1.0
7.0,7.0,41.0,3.8,0.43,0.41,1.0,4.0,0.0,4.0,White,1.0
1.0,3.0,35.0,3.4,-1.96,-0.76,1.0,3.0,1.0,5.0,White,1.0
5.0,6.0,42.0,3.2,-0.1,0.0,1.0,4.0,1.0,3.0,White,1.0
2.0,2.0,38.0,2.2,-0.94,-0.91,1.0,4.0,1.0,3.0,White,1.0
10.0,9.0,39.5,2.9,1.39,1.13,1.0,4.0,1.0,4.0,White,1.0
10.0,10.0,28.0,3.1,2.23,2.18,1.0,3.0,0.0,1.0,Non-White,1.0
3.0,2.0,37.0,3.1,-0.72,-1.1,1.0,4.0,0.0,4.0,White,1.0
2.0,1.0,37.0,2.5,-0.77,-1.55,1.0,5.0,1.0,3.0,White,0.0
7.0,5.0,47.0,3.8,0.5,-0.04,1.0,4.0,1.0,6.0,White,1.0
7.0,8.0,36.0,3.3,0.53,0.58,1.0,4.0,1.0,3.0,White,1.0
7.0,7.0,42.0,3.8,0.54,0.38,1.0,2.0,1.0,5.0,White,1.0
6.0,6.0,45.0,3.6,0.25,0.19,1.0,4.0,0.0,6.0,White,1.0
2.0,2.0,40.0,2.5,-0.93,-1.04,1.0,3.0,1.0,3.0,White,1.0
3.0,1.0,38.0,2.9,-0.58,-1.87,1.0,3.0,1.0,4.0,Non-White,0.0
4.0,5.0,44.0,3.8,-0.39,-0.18,1.0,5.0,1.0,6.0,White,1.0
1.0,1.0,34.0,3.0,-1.27,-1.48,1.0,3.0,0.0,2.0,White,0.0
8.0,9.0,37.0,4.0,0.79,0.88,1.0,3.0,0.0,4.0,White,1.0
3.0,4.0,47.0,3.5,-0.6,-0.37,1.0,4.0,1.0,6.0,White,1.0
5.0,6.0,30.7,1.9,-0.02,0.03,1.0,4.0,1.0,1.0,Non-White,0.0
4.0,2.0,40.5,3.1,-0.43,-0.92,1.0,4.0,0.0,5.0,White,1.0
6.0,4.0,41.0,3.9,0.19,-0.46,1.0,3.0,1.0,4.0,White,1.0
7.0,5.0,40.0,3.5,0.53,-0.11,1.0,4.0,0.0,3.0,White,1.0
10.0,9.0,41.0,3.4,1.57,1.01,1.0,3.0,0.0,4.0,White,1.0
1.0,1.0,26.0,3.0,-1.57,-1.58,1.0,5.0,0.0,4.0,Non-White,0.0
1.0,1.0,31.5,3.3,-1.62,-1.66,2.0,4.0,0.0,3.0,White,1.0
4.0,1.0,39.0,3.6,-0.31,-1.77,1.0,3.0,0.0,4.0,White,0.0
7.0,7.0,30.0,3.5,0.3,0.23,1.0,3.0,0.0,2.0,White,0.0
10.0,10.0,34.0,3.5,1.75,3.15,1.0,3.0,1.0,3.0,White,1.0
7.0,9.0,44.0,3.7,0.55,1.02,1.0,4.0,0.0,5.0,White,1.0
2.0,5.0,39.0,3.5,-0.81,-0.07,1.0,3.0,1.0,4.0,White,1.0
