Metric,Bootstrap_Model_Seed,Model_Name,Model_Params,Run_Number,Dataset_Name,Num_Estimators,Test_Set_Index,Tag,Record_Create_Date_Time,Session_Uuid,Experiment_Iteration,Dataset_Split_Seed,Model_Init_Seed,Fair_Intervention_Params_Lst,Intervention_Param,RAC1P_dis,RAC1P_dis_correct,RAC1P_dis_incorrect,RAC1P_priv,RAC1P_priv_correct,RAC1P_priv_incorrect,SEX&RAC1P_dis,SEX&RAC1P_dis_correct,SEX&RAC1P_dis_incorrect,SEX&RAC1P_priv,SEX&RAC1P_priv_correct,SEX&RAC1P_priv_incorrect,SEX_dis,SEX_dis_correct,SEX_dis_incorrect,SEX_priv,SEX_priv_correct,SEX_priv_incorrect,overall
IQR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.08182418362009894,0.07839051166541347,0.09025687797940002,0.07926075106534702,0.07627944599108963,0.0860330983945243,0.08132420456867172,0.07721459907427747,0.09248923896494633,0.08013164873173936,0.07731235739363329,0.0864286287863116,0.07966814664427953,0.07606107596458073,0.08866337269614244,0.08148596819853691,0.07890972096624026,0.08713870484415868,0.08046556436608042
IQR,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.0773868546726484,0.07399641405350874,0.08559962102677801,0.07475981335012077,0.07219855164645576,0.08093762054951874,0.07639056726578859,0.0723454923738037,0.08711880937061808,0.0758405054684555,0.07332595431745884,0.0817077914874477,0.07522697625213055,0.07182547366190477,0.08385936097690525,0.0769767023605915,0.07465472767225059,0.0822560179455258,0.07599452277170875
Jitter,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.10372621975123697,0.08655623426514021,0.14589368410681852,0.10018779431750162,0.07782472143325488,0.15098786111627707,0.09357406078008795,0.07452310411997025,0.14533196958241826,0.10506960729573904,0.08504735473614684,0.14978996780308892,0.09908915121927978,0.07721034456809772,0.15364999270209795,0.10538482686991034,0.08831969582425019,0.14282870663999295,0.10185085427135611
Jitter,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.09982073488007233,0.08075044561485044,0.14601527052738977,0.09032824499857926,0.07421404173894527,0.12919597989949616,0.09085343383584372,0.07117472608946632,0.14304478916322408,0.09632049134561811,0.07975459307117581,0.13497425398597693,0.09284283651034325,0.07357382941196199,0.14174401418858906,0.09728100991278386,0.08219731040322947,0.1315757893947365,0.09478971524288303
Label_Stability,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.85022695035461,0.8754291417165668,0.7883333333333333,0.8580754716981133,0.8917572463768116,0.7815637860082304,0.8659523809523809,0.8943973941368077,0.7886725663716815,0.849888888888889,0.8797050938337801,0.7832934131736528,0.8592636579572447,0.8914475873544093,0.7790041493775934,0.8481458966565351,0.874070796460177,0.7912621359223301,0.8543866666666666
Label_Stability,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.8559290780141845,0.8847695390781564,0.7860679611650486,0.8760251572327045,0.898914590747331,0.8208154506437768,0.8690238095238095,0.8987868852459017,0.7900869565217392,0.8656296296296296,0.8896296296296295,0.8096296296296298,0.8692161520190025,0.896887417218543,0.7989915966386556,0.8632066869300912,0.886148796498906,0.8110447761194031,0.8665799999999999
Mean,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.6264553066342766,0.6350224175892961,0.6054154900241553,0.6280926825239275,0.6391419380456405,0.6029931391165794,0.6328264669792415,0.6414983469204215,0.6092665807673632,0.6251829237522277,0.6354056146231387,0.6023502070166001,0.6309943982951967,0.6428417639960218,0.6014497228338032,0.6226252134029358,0.6296563735659773,0.607197619258786,0.6273231158557915
Mean,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.6286012173714474,0.6365736957866985,0.6092892429578048,0.6296421676798395,0.6373699060606255,0.6110027300403467,0.6346636366829191,0.6436055319289313,0.6109481753782781,0.6270098649495525,0.6343286695308334,0.609932654259897,0.6331384161126694,0.6434338032235482,0.6070106269741369,0.6240529410113603,0.6284860924652322,0.6139735867107661,0.6291529210348952
Overall_Uncertainty,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.8274442448734235,0.8000071226934146,0.8948265890507979,0.7999419940216349,0.7698496376961211,0.868299939254901,0.8182029164174677,0.7895586229561058,0.896024138476212,0.8107933823959507,0.7819920525873124,0.8751221010703346,0.8068965450963882,0.775618304922437,0.8848974676878604,0.8205094026015264,0.7956061221665376,0.8751515519054823,0.8128680519219754
Overall_Uncertainty,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.8271963320338425,0.7998580167111532,0.8934187560436576,0.8021624647050382,0.7753173398547557,0.8669133667044315,0.8175326721439048,0.7882031667287702,0.8953196212883927,0.8125267140962261,0.7863168379430732,0.8736830917869162,0.8077521965089973,0.7773050213920191,0.8850214980663708,0.8218316475133565,0.7994863510206975,0.8726366251110933,0.8139283823495762
PPV,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.6982248520710059,1.0,0.0,0.6600985221674877,1.0,0.0,0.7157894736842105,1.0,0.0,0.6642599277978339,1.0,0.0,0.665,1.0,0.0,0.6918604651162791,1.0,0.0,0.6774193548387096
PPV,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.696969696969697,1.0,0.0,0.6829268292682927,1.0,0.0,0.7096774193548387,1.0,0.0,0.6823104693140795,1.0,0.0,0.676923076923077,1.0,0.0,0.7028571428571428,1.0,0.0,0.6891891891891891
Per_Sample_Accuracy,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.6969716312056737,0.9376347305389221,0.1059313725490196,0.6898930817610063,0.9452445652173914,0.10983539094650205,0.7206904761904762,0.9470684039087948,0.1056637168141593,0.682537037037037,0.9393833780160857,0.10886227544910179,0.7064964370546318,0.9453743760399336,0.1107883817427386,0.6762310030395138,0.9366371681415928,0.10485436893203884,0.69322
Per_Sample_Accuracy,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.698418439716312,0.942304609218437,0.10764563106796117,0.6974465408805032,0.9494395017793595,0.08963519313304721,0.7180833333333334,0.9492622950819674,0.10495652173913043,0.6900555555555555,0.9448015873015873,0.09564814814814815,0.7087173396674584,0.9483609271523178,0.10054621848739495,0.6840653495440729,0.9430743982494529,0.09517412935323383,0.6979033333333333
Positive-Rate,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 11, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 20, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 200}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:13:20.469,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.6],0.6,0.6236162361623616,1.0,0.3333333333333333,0.6590909090909091,1.0,0.39655172413793105,0.6168831168831169,1.0,0.313953488372093,0.6517647058823529,1.0,0.38589211618257263,0.6514657980456026,1.0,0.3850574712643678,0.6323529411764706,1.0,0.3464052287581699,0.6424870466321243
Positive-Rate,101,LGBMClassifier,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.1, 'max_depth': 9, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 351, 'objective': None, 'random_state': 101, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'silent': 'warn', 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'min_data_in_leaf': 300}",Run_1,Folktables_CA_2018_Public_Coverage,200,0,OK,2023-08-01 23:06:10.855,c42fae24-694f-408e-98df-ce099940a961,Exp_iter_1,100,100,[0.0],0.0,0.6088560885608856,1.0,0.32051282051282054,0.6655844155844156,1.0,0.3869047619047619,0.6038961038961039,1.0,0.3068181818181818,0.6517647058823529,1.0,0.3728813559322034,0.6351791530944625,1.0,0.36,0.6433823529411765,1.0,0.348993288590604,0.6390328151986183
