Metric,SEX,RAC1P,SEX&RAC1P,Model_Name,Intervention_Param
Equalized_Odds_FNR,0.039253048780487854,0.03148370597124811,0.1167003413920435,LGBMClassifier,0.4
Disparate_Impact,1.0594573415613675,1.0609451814521111,0.9916513681265844,LGBMClassifier,0.4
Statistical_Parity_Difference,0.046265243902439024,0.04779710931142722,-0.00665366125548672,LGBMClassifier,0.4
Accuracy_Parity,0.02841880341880343,0.034390591589451236,0.015897090214582632,LGBMClassifier,0.4
Label_Stability_Ratio,1.0214945785801577,1.021203066210909,1.0204956799007319,LGBMClassifier,0.4
IQR_Parity,-0.004103223054099589,-0.008620361682032895,-0.006324316490461224,LGBMClassifier,0.4
Std_Parity,-0.0030876402128535846,-0.006194968170589871,-0.004796370058731313,LGBMClassifier,0.4
Std_Ratio,0.9493557726215703,0.8992698436233884,0.9204716301184785,LGBMClassifier,0.4
Jitter_Parity,-0.01200876712622645,-0.015122226339372366,-0.012784745357312319,LGBMClassifier,0.4
Equalized_Odds_TPR,-0.06996951219512193,-0.01604215910411899,-0.10732947815787641,LogisticRegression,0.0
Equalized_Odds_FPR,-0.023723089911355008,-0.04367572271627097,-0.042787718424982316,LogisticRegression,0.0
Equalized_Odds_FNR,0.06996951219512193,0.01604215910411899,0.10732947815787636,LogisticRegression,0.0
Disparate_Impact,0.9908320359799343,0.9996470017208666,0.9084844203751667,LogisticRegression,0.0
Statistical_Parity_Difference,-0.008079268292682906,-0.00030999341263993063,-0.08123737197798375,LogisticRegression,0.0
Accuracy_Parity,0.01816239316239321,0.05037905786302077,0.031457139647230625,LogisticRegression,0.0
Label_Stability_Ratio,1.009100642398287,1.023801267627326,1.0076597165218943,LogisticRegression,0.0
IQR_Parity,-0.006097632012806539,-0.006310527017404574,-0.0065692439650302525,LogisticRegression,0.0
Std_Parity,-0.004906109963734577,-0.004854434742104861,-0.005207661750716387,LogisticRegression,0.0
Std_Ratio,0.9086406912235572,0.9082781978742059,0.9003166552931693,LogisticRegression,0.0
Jitter_Parity,-0.0055498432332622555,-0.01576926661754173,-0.006298770939673112,LogisticRegression,0.0
Equalized_Odds_TPR,-0.04298780487804876,0.08555818188863484,0.017661812861422654,LogisticRegression,0.7
Equalized_Odds_FPR,-0.003925707049387925,-0.030295613390987464,-0.022281313038694295,LogisticRegression,0.7
Equalized_Odds_FNR,0.04298780487804876,-0.0855581818886349,-0.01766181286142271,LogisticRegression,0.7
Disparate_Impact,1.0570386018820819,1.15227520571032,1.1070776454221372,LogisticRegression,0.7
Statistical_Parity_Difference,0.04527439024390245,0.11903747045375279,0.08580087786525459,LogisticRegression,0.7
Accuracy_Parity,0.02147435897435901,0.07841152076718727,0.05596749428903114,LogisticRegression,0.7
Label_Stability_Ratio,0.9984503821387735,1.0050781309776278,0.9984788609152078,LogisticRegression,0.7
IQR_Parity,-0.0030463198184801366,-0.0007317941412861503,-0.0023944641804607703,LogisticRegression,0.7
Std_Parity,-0.002576978265789877,-0.00016051358574650093,-0.0019729774914916606,LogisticRegression,0.7
Std_Ratio,0.9398193735885796,0.9961448364837571,0.9529382123765405,LogisticRegression,0.7
Jitter_Parity,0.0017610005153971056,-0.0049119190685485425,0.0009849212357710413,LogisticRegression,0.7
Equalized_Odds_TPR,-0.062347560975609784,-0.0033518037741697704,-0.09653034208876188,LogisticRegression,0.4
Equalized_Odds_FPR,-0.019607429295061207,-0.030417992439694327,-0.030016242697335674,LogisticRegression,0.4
Equalized_Odds_FNR,0.06234756097560973,0.0033518037741697704,0.09653034208876193,LogisticRegression,0.4
Disparate_Impact,1.0087170907810161,1.050002258457925,0.961194506547429,LogisticRegression,0.4
Statistical_Parity_Difference,0.007545731707317094,0.042895338474057354,-0.0338605169650944,LogisticRegression,0.4
Accuracy_Parity,0.019230769230769273,0.046207801464394516,0.026120660599932566,LogisticRegression,0.4
Label_Stability_Ratio,1.0072028640298956,1.0153655245856517,1.000428717824364,LogisticRegression,0.4
IQR_Parity,-0.0068586087713478905,-0.005069227313861113,-0.005323993156258602,LogisticRegression,0.4
Std_Parity,-0.005429382866877996,-0.004096338358900525,-0.004725493931369902,LogisticRegression,0.4
Std_Ratio,0.8999072809699203,0.9226669785897548,0.909905157452225,LogisticRegression,0.4
Jitter_Parity,-0.004078888029894576,-0.01278422827543911,-0.003752072160978573,LogisticRegression,0.4
Equalized_Odds_TPR,-0.019435975609756184,-0.03632735304374779,-0.07838082630808896,MLPClassifier,0.0
Equalized_Odds_FPR,-0.0587378640776699,-0.05070571918087624,-0.06589426527992455,MLPClassifier,0.0
Equalized_Odds_FNR,0.019435975609756073,0.036327353043747845,0.0783808263080889,MLPClassifier,0.0
Disparate_Impact,0.9938211382113822,0.9835774706003713,0.9036308734717926,MLPClassifier,0.0
Statistical_Parity_Difference,-0.005792682926829218,-0.01542217227883913,-0.09116560997700829,MLPClassifier,0.0
Accuracy_Parity,0.05256410256410249,0.04415862113652558,0.05033142343556907,MLPClassifier,0.0
Label_Stability_Ratio,1.0400222540384076,1.052024430659532,1.0377142721189696,MLPClassifier,0.0
IQR_Parity,-0.023103483282492315,-0.02199865172956933,-0.021084662231184464,MLPClassifier,0.0
Std_Parity,-0.017047311682108574,-0.014482498155605067,-0.015528142059770114,MLPClassifier,0.0
Std_Ratio,0.8378767214807724,0.8575668018548829,0.8441550952374669,MLPClassifier,0.0
Jitter_Parity,-0.024276623502126712,-0.02999195460552799,-0.02431443345626763,MLPClassifier,0.0
Equalized_Odds_TPR,-0.018978658536585313,0.05504320533188678,-0.03720476555423957,MLPClassifier,0.7
Equalized_Odds_FPR,-0.04624314056563952,-0.015542139185771395,-0.04150402137748552,MLPClassifier,0.7
Equalized_Odds_FNR,0.01897865853658537,-0.05504320533188667,0.037204765554239516,MLPClassifier,0.7
Disparate_Impact,0.9976159911975059,1.1685710118150436,0.9892333472978635,MLPClassifier,0.7
Statistical_Parity_Difference,-0.0019817073170732558,0.134343395202852,-0.008952832160523894,MLPClassifier,0.7
Accuracy_Parity,0.05566239316239319,0.05791971748849867,0.05465678013706321,MLPClassifier,0.7
Label_Stability_Ratio,1.0116825655056816,1.0147414387548623,1.0142450823394442,MLPClassifier,0.7
IQR_Parity,-0.015967185873185546,-0.007739632168905608,-0.010375957070957897,MLPClassifier,0.7
Std_Parity,-0.011280373369031718,-0.0052215839220306065,-0.00846586522301801,MLPClassifier,0.7
Std_Ratio,0.8633086261228244,0.9337434540716136,0.8922451079710022,MLPClassifier,0.7
Jitter_Parity,-0.011206411330150795,-0.010024072689631416,-0.009159063489553684,MLPClassifier,0.7
Equalized_Odds_TPR,-0.018064024390243905,-0.018541480993528814,-0.07190134466662024,MLPClassifier,0.4
Equalized_Odds_FPR,-0.0478682988602786,-0.03377661744309374,-0.04670430431479396,MLPClassifier,0.4
Equalized_Odds_FNR,0.018064024390243905,0.01854148099352887,0.07190134466662024,MLPClassifier,0.4
Disparate_Impact,1.0122367435278448,1.0388483701545854,0.9596397347000302,MLPClassifier,0.4
Statistical_Parity_Difference,0.01120426829268295,0.03539737280582789,-0.03730927332265033,MLPClassifier,0.4
Accuracy_Parity,0.04732905982905977,0.03914501393118641,0.039358873534808825,MLPClassifier,0.4
Label_Stability_Ratio,1.0380533656761675,1.050281055097938,1.039143933855558,MLPClassifier,0.4
IQR_Parity,-0.021800317105360498,-0.01979599811428892,-0.019109923987836203,MLPClassifier,0.4
Std_Parity,-0.016632398891789663,-0.013618988897571183,-0.014615438426665558,MLPClassifier,0.4
Std_Ratio,0.8411837472975571,0.8653910518588449,0.8527524702482466,MLPClassifier,0.4
Jitter_Parity,-0.023205391272604736,-0.028007441470945263,-0.022731439845363424,MLPClassifier,0.4
Equalized_Odds_TPR,-0.013109756097560932,0.03212306738481807,-0.022085975057479224,RandomForestClassifier,0.4
Equalized_Odds_FPR,-0.01192486281131279,-0.004963150308667147,-0.006942443216054084,RandomForestClassifier,0.4
Equalized_Odds_FNR,0.013109756097560987,-0.03212306738481807,0.02208597505747928,RandomForestClassifier,0.4
Disparate_Impact,1.0743556828280834,1.1590880271867312,1.1109037589976007,RandomForestClassifier,0.4
Statistical_Parity_Difference,0.05739329268292681,0.12153679234316273,0.08695046331777334,RandomForestClassifier,0.4
Accuracy_Parity,0.03856837606837615,0.04690436078533011,0.036587649327790794,RandomForestClassifier,0.4
Label_Stability_Ratio,1.0010830866898295,1.0245213649857032,1.0016860934867435,RandomForestClassifier,0.4
IQR_Parity,-0.0024315475130579356,-0.007422421027040563,-0.006348073239051066,RandomForestClassifier,0.4
Std_Parity,-0.001890817887290966,-0.006005398383778858,-0.005054462180121233,RandomForestClassifier,0.4
Std_Ratio,0.9693944783088382,0.9044128961451383,0.9181358364959677,RandomForestClassifier,0.4
Jitter_Parity,-0.0029367081132166684,-0.015830939834926464,-0.004035590076358689,RandomForestClassifier,0.4
Equalized_Odds_TPR,-0.013262195121951259,0.09049870190258458,0.0275900508604473,RandomForestClassifier,0.7
Equalized_Odds_FPR,-0.004706627268889818,0.005180713061923803,0.004610830211417033,RandomForestClassifier,0.7
Equalized_Odds_FNR,0.013262195121951204,-0.09049870190258458,-0.0275900508604473,RandomForestClassifier,0.7
Disparate_Impact,1.086494036746535,1.2810291207237774,1.2183023097164019,RandomForestClassifier,0.7
Statistical_Parity_Difference,0.06135670731707321,0.19258340760258852,0.15606493416010592,RandomForestClassifier,0.7
Accuracy_Parity,0.04049145299145296,0.06377567550055074,0.04785979103471516,RandomForestClassifier,0.7
Label_Stability_Ratio,1.0042931659613945,1.0158033089241028,0.997701913713356,RandomForestClassifier,0.7
IQR_Parity,-0.0021576183268891685,-0.0011512403501528212,-0.00012869147334378106,RandomForestClassifier,0.7
Std_Parity,-0.002107574597948185,-0.0019021823908419097,-0.001451921355860343,RandomForestClassifier,0.7
Std_Ratio,0.962673667602888,0.9660752793094682,0.9739339258916726,RandomForestClassifier,0.7
Jitter_Parity,-0.004579489326979741,-0.010039410100458009,-0.0014495632866055874,RandomForestClassifier,0.7
Equalized_Odds_TPR,-0.006478658536585358,0.034680513039097915,-0.010276597227060535,RandomForestClassifier,0.0
Equalized_Odds_FPR,-0.018446601941747576,-0.00981751924070598,-0.010793534358544452,RandomForestClassifier,0.0
Equalized_Odds_FNR,0.006478658536585358,-0.034680513039097915,0.010276597227060535,RandomForestClassifier,0.0
Disparate_Impact,1.0696725293946165,1.149977548271217,1.1161027349228612,RandomForestClassifier,0.0
Statistical_Parity_Difference,0.05464939024390236,0.11648002479947306,0.09228035950672331,RandomForestClassifier,0.0
Accuracy_Parity,0.043910256410256476,0.04994168340568905,0.04126877129910489,RandomForestClassifier,0.0
Label_Stability_Ratio,1.0018200544605445,1.031331519636685,1.0152022947420831,RandomForestClassifier,0.0
IQR_Parity,-0.0014266839924084312,-0.005259735864872772,-0.003978617177466615,RandomForestClassifier,0.0
Std_Parity,-0.0014799865759114808,-0.0045115073360025085,-0.003718279422753004,RandomForestClassifier,0.0
Std_Ratio,0.9712188827286748,0.913538681205104,0.9275913116942456,RandomForestClassifier,0.0
Jitter_Parity,-0.0018609822617384336,-0.017820314313740024,-0.008520772043575799,RandomForestClassifier,0.0
