Metric,male,race,male&race,Model_Name,Experiment_Iteration,Intervention_Param,Test_Set_Index
Statistical_Parity_Difference,0.019652444967672933,0.014621669662876036,0.03600464576074347,MLPClassifier,Exp_iter_1,0.0,0
Accuracy_Parity,-0.024665731650303835,-0.14909346712325133,-0.13497635415143083,MLPClassifier,Exp_iter_1,0.0,0
Label_Stability_Ratio,1.001836062082041,0.8553840569742932,0.8648947072020089,MLPClassifier,Exp_iter_1,0.0,0
IQR_Parity,-0.0020205977060946817,0.09889952827181274,0.08378658970964548,MLPClassifier,Exp_iter_1,0.0,0
Std_Parity,-0.0033869150678196153,0.10496476391153896,0.09394292815043398,MLPClassifier,Exp_iter_1,0.0,0
Std_Ratio,0.9706692880546564,2.088873447566327,1.884663033993635,MLPClassifier,Exp_iter_1,0.0,0
Jitter_Parity,-0.0014995576292047702,0.10470271374925606,0.09636066589101067,MLPClassifier,Exp_iter_1,0.0,0
Equalized_Odds_TPR,0.004399249792072291,-0.12046528773708765,-0.10859465737514518,MLPClassifier,Exp_iter_1,0.6,0
Equalized_Odds_FPR,0.03441031585047816,-0.24518518518518517,-0.18981786262892253,MLPClassifier,Exp_iter_1,0.6,0
Equalized_Odds_FNR,-0.0043992497920722975,0.1204652877370877,0.10859465737514518,MLPClassifier,Exp_iter_1,0.6,0
Disparate_Impact,1.0262887781579368,1.0295513811087504,1.0238227146814405,MLPClassifier,Exp_iter_1,0.6,0
Statistical_Parity_Difference,0.027283213025210973,0.03090219564910024,0.024970963995354367,MLPClassifier,Exp_iter_1,0.6,0
Accuracy_Parity,-0.01372604020570356,-0.17549308486634285,-0.1530398322851153,MLPClassifier,Exp_iter_1,0.6,0
Label_Stability_Ratio,1.0106622176454783,0.7347549972966689,0.7588685481341745,MLPClassifier,Exp_iter_1,0.6,0
IQR_Parity,-0.014337453917789456,0.239717291325784,0.20712778100148252,MLPClassifier,Exp_iter_1,0.6,0
Std_Parity,-0.0043530382426541225,0.14139945806041038,0.12248067260767251,MLPClassifier,Exp_iter_1,0.6,0
Std_Ratio,0.9757227989415077,1.9199580092412873,1.7324037388625755,MLPClassifier,Exp_iter_1,0.6,0
Jitter_Parity,-0.005143773566298637,0.14638050323022922,0.12861240469325352,MLPClassifier,Exp_iter_1,0.6,0
Equalized_Odds_TPR,-0.001291654055960545,-0.09822600844325047,-0.07026713124274109,RandomForestClassifier,Exp_iter_1,0.6,0
Equalized_Odds_FPR,0.05252100840336138,-0.23222222222222222,-0.11465876673249942,RandomForestClassifier,Exp_iter_1,0.6,0
Equalized_Odds_FNR,0.0012916540559605519,0.09822600844325045,0.070267131242741,RandomForestClassifier,Exp_iter_1,0.6,0
Disparate_Impact,1.023725852624935,1.0662711508746496,1.0951859956236325,RandomForestClassifier,Exp_iter_1,0.6,0
Statistical_Parity_Difference,0.025083588129174883,0.07017189488355191,0.10104529616724744,RandomForestClassifier,Exp_iter_1,0.6,0
Accuracy_Parity,-0.022010285179990707,-0.1732234344721404,-0.15403929598751886,RandomForestClassifier,Exp_iter_1,0.6,0
Label_Stability_Ratio,1.001176387259295,0.8802415712253702,0.8891938218753054,RandomForestClassifier,Exp_iter_1,0.6,0
IQR_Parity,-0.0035096712918958883,0.04988279067634181,0.0462411893925246,RandomForestClassifier,Exp_iter_1,0.6,0
Std_Parity,-0.0023313579149804586,0.03429320329971825,0.031556199509573314,RandomForestClassifier,Exp_iter_1,0.6,0
Std_Ratio,0.9518148424379955,1.8242881288324113,1.7054584360968619,RandomForestClassifier,Exp_iter_1,0.6,0
Jitter_Parity,-4.495690233047994e-05,0.07727229028260862,0.07378751418836879,RandomForestClassifier,Exp_iter_1,0.6,0
Equalized_Odds_TPR,-0.0020673614272062046,-0.11776112468943789,-0.10162601626016254,RandomForestClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FPR,0.04303100550565053,-0.39185185185185184,-0.2725477287689269,RandomForestClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.0020673614272062393,0.11776112468943785,0.1016260162601626,RandomForestClassifier,Exp_iter_1,0.0,0
Disparate_Impact,1.0209866123993547,0.9959582206649654,1.004931506849315,RandomForestClassifier,Exp_iter_1,0.0,0
Statistical_Parity_Difference,0.022045103034433744,-0.004287272506918294,0.00522648083623678,RandomForestClassifier,Exp_iter_1,0.0,0
Accuracy_Parity,-0.020729312762973406,-0.14734809269730031,-0.13025937301935542,RandomForestClassifier,Exp_iter_1,0.0,0
Label_Stability_Ratio,0.9930186851041846,0.8737383149825507,0.8708797513120977,RandomForestClassifier,Exp_iter_1,0.0,0
IQR_Parity,-0.001739345488546054,0.055151728119773834,0.04682910389547073,RandomForestClassifier,Exp_iter_1,0.0,0
Std_Parity,-0.0009731829505101527,0.03857636987638614,0.03338260860983806,RandomForestClassifier,Exp_iter_1,0.0,0
Std_Ratio,0.9772979817363154,2.072208090053585,1.8414636557441237,RandomForestClassifier,Exp_iter_1,0.0,0
Jitter_Parity,0.0032763339840793312,0.0841594483260172,0.08485739726863116,RandomForestClassifier,Exp_iter_1,0.0,0
