Metric,Race,Model_Name,Experiment_Iteration,Intervention_Param,Test_Set_Index
Equalized_Odds_FPR,-0.04444444444444445,MLPClassifier,Exp_iter_1,0.4,0
Equalized_Odds_TPR,0.1428571428571429,MLPClassifier,Exp_iter_1,0.4,0
IQR_Parity,-0.1782305060524368,MLPClassifier,Exp_iter_1,0.4,0
Jitter_Parity,-0.09088436836585866,MLPClassifier,Exp_iter_1,0.4,0
Label_Stability_Ratio,1.1823216340621405,MLPClassifier,Exp_iter_1,0.4,0
Statistical_Parity_Difference,0.25,MLPClassifier,Exp_iter_1,0.4,0
Std_Parity,-0.08577780370352184,MLPClassifier,Exp_iter_1,0.4,0
Std_Ratio,0.6190997914544973,MLPClassifier,Exp_iter_1,0.4,0
Accuracy_Parity,0.11764705882352944,RandomForestClassifier,Exp_iter_1,0.0,0
Disparate_Impact,0.7777777777777777,RandomForestClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FNR,0.0,RandomForestClassifier,Exp_iter_1,0.0,0
Equalized_Odds_FPR,-0.2,RandomForestClassifier,Exp_iter_1,0.0,0
Equalized_Odds_TPR,0.0,RandomForestClassifier,Exp_iter_1,0.0,0
IQR_Parity,-0.07018048128342244,RandomForestClassifier,Exp_iter_1,0.0,0
Jitter_Parity,-0.08421653723159321,RandomForestClassifier,Exp_iter_1,0.0,0
Label_Stability_Ratio,1.1554112554112557,RandomForestClassifier,Exp_iter_1,0.0,0
Statistical_Parity_Difference,-0.2857142857142858,RandomForestClassifier,Exp_iter_1,0.0,0
Std_Parity,-0.04209583589618668,RandomForestClassifier,Exp_iter_1,0.0,0
Std_Ratio,0.4548023847532704,RandomForestClassifier,Exp_iter_1,0.0,0
Accuracy_Parity,0.14438502673796794,RandomForestClassifier,Exp_iter_1,0.4,0
Disparate_Impact,0.9545454545454546,RandomForestClassifier,Exp_iter_1,0.4,0
Equalized_Odds_FNR,0.0,RandomForestClassifier,Exp_iter_1,0.4,0
Equalized_Odds_FPR,-0.2888888888888889,RandomForestClassifier,Exp_iter_1,0.4,0
Equalized_Odds_TPR,0.0,RandomForestClassifier,Exp_iter_1,0.4,0
IQR_Parity,-0.07059491978609625,RandomForestClassifier,Exp_iter_1,0.4,0
Jitter_Parity,-0.10266600381584051,RandomForestClassifier,Exp_iter_1,0.4,0
Label_Stability_Ratio,1.229393468118196,RandomForestClassifier,Exp_iter_1,0.4,0
Statistical_Parity_Difference,-0.0714285714285714,RandomForestClassifier,Exp_iter_1,0.4,0
Std_Parity,-0.04122312272769589,RandomForestClassifier,Exp_iter_1,0.4,0
Std_Ratio,0.607473282709729,RandomForestClassifier,Exp_iter_1,0.4,0
Accuracy_Parity,-0.06417112299465233,RandomForestClassifier,Exp_iter_1,0.7,0
Disparate_Impact,1.5555555555555554,RandomForestClassifier,Exp_iter_1,0.7,0
Equalized_Odds_FNR,0.0,RandomForestClassifier,Exp_iter_1,0.7,0
Equalized_Odds_FPR,0.0222222222222222,RandomForestClassifier,Exp_iter_1,0.7,0
Equalized_Odds_TPR,0.0,RandomForestClassifier,Exp_iter_1,0.7,0
IQR_Parity,-0.03575165472525095,RandomForestClassifier,Exp_iter_1,0.7,0
Jitter_Parity,-0.04552387606479004,RandomForestClassifier,Exp_iter_1,0.7,0
Label_Stability_Ratio,1.071062271062271,RandomForestClassifier,Exp_iter_1,0.7,0
Statistical_Parity_Difference,0.7142857142857142,RandomForestClassifier,Exp_iter_1,0.7,0
Std_Parity,-0.016581787315341434,RandomForestClassifier,Exp_iter_1,0.7,0
Std_Ratio,0.8265703729361945,RandomForestClassifier,Exp_iter_1,0.7,0
